incident_county,incident_acres_burned,longitude,latitude
Santa Clara,85,-121.71752,37.3344
Monterey,15,-120.87492,35.947
Modoc,562,-121.29581,41.85763
Mariposa,630,-119.9646,37.3762
San Diego,0,-117.58252,33.43513
Kern,1200,-118.80123,35.38298
Monterey,42,-121.08753,35.96275
Los Angeles,55,-118.58624,34.03941
Los Angeles,41,-118.70294,34.10446
Shasta,128,-122.0122,40.69554
Nevada,10,-121.06656,39.08382
Riverside,11,-117.096233,33.913089
Butte,14,-121.6268,39.8629
Mariposa,225,-119.921,37.4591
Fresno,1538,-120.620791,36.269125
Riverside,30,-117.25411,33.96896
Riverside,10,-116.99321,33.91806
Riverside,50,-117.16215,33.87739
San Benito,34,-121.30983,36.85596
San Bernardino,13,-117.3125,34.304722
Fresno,57,-119.51592,36.81476
Riverside,35,-117.48405,33.99316
Butte,18,-121.54722,39.53944
Ventura,50,-118.98603,34.20599
Siskiyou,0,-122.73031,41.86609
Riverside,205,-117.48195,33.85323
Tulare,21,-118.81979,36.10858
Siskiyou,469,-122.8428,41.3975
El Dorado,74,-120.97111,38.7803
Stanislaus,62,-120.4925,37.64898
Fresno,91,-119.65621,36.95104
Calaveras,22,-120.67848,38.20176
Yolo,2269,-122.0251,38.49521
Kern,1626,-119.08312,35.59904
San Luis Obispo,28687,-120.3223,35.0179
Lassen,0,-120.9643,40.6361
Kern,2940,-118.89627,35.77896
Siskiyou,0,-123.474,41.841
Madera,90,-120.02027,37.09773
Riverside,33,-117.314994,33.763304
Butte,6033,-121.41222,39.45352
San Bernardino,74,-117.06765,34.07612
San Luis Obispo,58,-120.62825,35.346
Mariposa,36,-120.34802,37.65963
Contra Costa,231,-121.78677,37.87808
Shasta,10,-122.38619,40.48972
Santa Barbara,18430,-119.9494,34.55096
Modoc,410,-121.30451,41.72163
Siskiyou,27276,-123.501,41.59
San Luis Obispo,340,-120.47322,35.42433
Contra Costa,370,-122.25544,38.02929
Yuba,50,-121.303,39.06308
El Dorado,13,-121.06088,38.67474
"Monterey, San Luis Obispo",1816,-120.57894,35.86949
Tehama,29,-122.42606,40.29118
Kings,48889,-120.20014,35.93273
Butte,166,-121.53865,39.37192
